epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.06702,1.62765,2.86823,1.35669,0.00333,1,0.44575,0.30037,1.0483,3.1243,0.99021,0.000650407,0.000650407,0.000650407
2,15.294,1.50398,1.95308,1.29007,0.62298,0.43753,0.53417,0.18906,1.75576,2.97689,2.49686,0.00127361,0.00127361,0.00127361
3,22.5375,1.49867,1.73208,1.28191,0.21332,0.08824,0.07182,0.04016,1.39367,4.85386,1.59226,0.00185281,0.00185281,0.00185281
4,29.6587,1.52751,1.68924,1.31455,0.92636,0.74009,0.86135,0.50733,1.59955,2.24642,1.59112,0.001802,0.001802,0.001802
5,36.9562,1.5259,1.5468,1.30002,0.90996,0.89191,0.97058,0.57319,1.45577,3.6598,1.58304,0.001736,0.001736,0.001736
6,44.2163,1.44561,1.48495,1.2879,0.90543,0.91176,0.96803,0.63156,1.22169,2.09477,1.40396,0.00167,0.00167,0.00167
7,51.4028,1.4416,1.30753,1.25453,0.82593,0.88235,0.91411,0.61414,1.12195,1.48752,1.22392,0.001604,0.001604,0.001604
8,58.6097,1.36939,1.19019,1.22234,0.8712,0.88235,0.93212,0.64034,1.26275,1.64328,1.32414,0.001538,0.001538,0.001538
9,65.8744,1.30756,1.15747,1.18629,0.8015,0.94118,0.9242,0.64955,1.19536,1.54916,1.33015,0.001472,0.001472,0.001472
10,73.0486,1.33524,1.09632,1.22702,0.56098,0.91176,0.61868,0.44951,1.05815,2.0278,1.27707,0.001406,0.001406,0.001406
11,80.3676,1.31352,1.05764,1.19029,0.6676,0.91176,0.76672,0.56511,1.09261,1.74214,1.19895,0.00134,0.00134,0.00134
12,87.53,1.25779,0.95898,1.18502,0.62044,0.94118,0.75883,0.52282,1.15915,2.08511,1.32692,0.001274,0.001274,0.001274
13,94.6726,1.26701,0.97683,1.1492,0.7697,0.97059,0.84307,0.60431,0.99495,1.80462,1.18591,0.001208,0.001208,0.001208
14,102.16,1.25947,0.95329,1.17527,0.94377,0.94118,0.97437,0.73341,0.99967,1.30316,1.16726,0.001142,0.001142,0.001142
15,109.303,1.23859,0.90187,1.16717,0.98493,0.91176,0.98574,0.76168,1.01397,1.1396,1.15606,0.001076,0.001076,0.001076
16,116.547,1.26494,0.90151,1.15535,0.94156,1,0.96814,0.64972,1.06049,1.23971,1.14627,0.00101,0.00101,0.00101
17,123.743,1.23747,0.85944,1.1309,0.9003,0.97059,0.94577,0.72714,0.90039,1.23095,1.10629,0.000944,0.000944,0.000944
18,131.005,1.18616,0.8162,1.11094,0.86937,1,0.93861,0.66399,1.02429,1.19175,1.1624,0.000878,0.000878,0.000878
19,138.127,1.19714,0.80973,1.14614,0.75379,0.99064,0.80811,0.60194,0.96579,1.68587,1.10474,0.000812,0.000812,0.000812
20,145.333,1.12113,0.75844,1.12038,0.86625,1,0.95407,0.74929,0.82345,0.90853,1.04913,0.000746,0.000746,0.000746
21,161.129,1.16706,0.74405,1.11225,0.86661,1,0.92644,0.68408,0.95498,0.96152,1.09352,0.00068,0.00068,0.00068
22,168.466,1.13191,0.72947,1.09231,0.84769,1,0.96895,0.71475,0.99414,0.97683,1.15329,0.000614,0.000614,0.000614
23,175.676,1.10784,0.69757,1.10954,0.869,1,0.945,0.69408,0.98161,1.08174,1.1548,0.000548,0.000548,0.000548
24,182.962,1.05571,0.67574,1.07216,0.99329,1,0.995,0.76317,0.91104,0.75639,1.11211,0.000482,0.000482,0.000482
25,190.244,1.01363,0.65323,1.05971,0.99553,1,0.995,0.73912,0.9404,0.72184,1.14978,0.000416,0.000416,0.000416
26,197.332,1.01749,0.67774,1.05274,0.94131,1,0.98722,0.68678,1.11013,0.85023,1.25768,0.00035,0.00035,0.00035
27,204.505,1.02321,0.63675,1.05387,0.94353,0.98297,0.98771,0.70755,1.05457,0.97615,1.19284,0.000284,0.000284,0.000284
28,211.884,1.00887,0.61339,1.06649,0.92901,1,0.98493,0.72999,0.94337,0.83267,1.08298,0.000218,0.000218,0.000218
29,219.108,1.00457,0.61233,1.06185,0.99567,1,0.995,0.74377,0.9106,0.71102,1.08018,0.000152,0.000152,0.000152
30,226.515,0.96458,0.58089,1.02583,0.9958,1,0.995,0.74451,0.97953,0.72516,1.14209,8.6e-05,8.6e-05,8.6e-05
