epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,444.276,0.88129,2.14514,1.04564,0.77806,0.39743,0.4222,0.35799,0.59043,0.69186,0.88199,0.00999493,0.00333164,0.00999493,0.00333164,0.00999493,0.00333164,0.00999493,0.00333164
2,853.819,0.75193,0.85515,0.96877,0.87396,0.577,0.66116,0.56137,0.54023,0.55362,0.87432,0.019599,0.00653301,0.019599,0.00653301,0.019599,0.00653301,0.019599,0.00653301
3,1250.55,0.74044,0.75981,0.96706,0.87027,0.60714,0.78423,0.66837,0.53941,0.51711,0.88126,0.0288071,0.00960238,0.0288071,0.00960238,0.0288071,0.00960238,0.0288071,0.00960238
4,1640.64,0.69429,0.69008,0.95615,0.74118,0.81937,0.8402,0.72427,0.4791,0.42618,0.86168,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,2028.64,0.64457,0.61241,0.94233,0.82784,0.78545,0.83458,0.72166,0.46701,0.38963,0.86071,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,2420.11,0.61951,0.56782,0.93676,0.85903,0.8176,0.87749,0.76665,0.46401,0.35198,0.85196,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,2813.36,0.60157,0.52871,0.93004,0.90295,0.79753,0.90637,0.79005,0.43998,0.32116,0.84886,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,3201.99,0.58692,0.50011,0.92699,0.87857,0.84931,0.89892,0.78976,0.44104,0.30051,0.84722,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,3590.27,0.57385,0.47739,0.92196,0.92502,0.8453,0.92928,0.81333,0.42835,0.27546,0.84329,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,3978.65,0.56376,0.45602,0.9189,0.90186,0.85269,0.93702,0.82514,0.42518,0.26177,0.84173,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
11,4373.5,0.55784,0.44798,0.91733,0.92604,0.87279,0.96472,0.84985,0.41826,0.25121,0.83904,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
12,4760.49,0.55249,0.43785,0.91712,0.85292,0.93173,0.95728,0.84311,0.4144,0.24739,0.83909,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
13,5147.94,0.54644,0.42565,0.91448,0.88297,0.88868,0.96876,0.85016,0.41327,0.23993,0.8376,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
14,5537.31,0.53905,0.41783,0.91242,0.92397,0.90428,0.9749,0.85598,0.41179,0.23316,0.83811,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
15,5925.77,0.53741,0.41286,0.91203,0.93931,0.89777,0.96623,0.85076,0.40575,0.22901,0.83584,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
16,6313.86,0.53569,0.40829,0.91174,0.95132,0.88573,0.97941,0.86028,0.40539,0.224,0.83586,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
17,6706.28,0.52825,0.39933,0.90901,0.95937,0.86713,0.98249,0.86674,0.40242,0.22112,0.83332,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
18,7096.17,0.52747,0.39373,0.90856,0.88071,0.93108,0.96075,0.84121,0.40186,0.21727,0.8338,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
19,7485.41,0.52239,0.39265,0.90733,0.94638,0.91866,0.97449,0.86164,0.39931,0.21768,0.83246,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
20,7874.84,0.52,0.38752,0.90657,0.94346,0.92659,0.98809,0.86876,0.39545,0.20888,0.83143,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
21,8268.29,0.51803,0.38029,0.90608,0.89854,0.93881,0.98737,0.86422,0.39678,0.20895,0.83223,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
22,8660.69,0.51327,0.37697,0.90509,0.92393,0.93878,0.97825,0.86523,0.39586,0.20606,0.83062,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
23,9058.13,0.51019,0.37366,0.90525,0.92628,0.94062,0.97232,0.86402,0.39249,0.20502,0.82965,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
24,9452.47,0.5109,0.37034,0.90388,0.94629,0.92923,0.98067,0.87161,0.39231,0.20129,0.82991,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
25,9845.21,0.5063,0.36678,0.90281,0.95711,0.92221,0.97952,0.87123,0.39042,0.19994,0.82895,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
26,10236,0.50389,0.36218,0.90242,0.95116,0.93833,0.97845,0.86851,0.39217,0.19959,0.82974,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
27,10627.1,0.50133,0.35841,0.90164,0.96213,0.93697,0.97856,0.87034,0.38977,0.19616,0.8289,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
28,11018,0.4994,0.35656,0.90055,0.92319,0.95064,0.9876,0.88229,0.3871,0.19731,0.82741,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
29,11413.3,0.49556,0.35164,0.89953,0.95111,0.9466,0.98794,0.87882,0.38563,0.19488,0.82644,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
30,11803.4,0.49517,0.34788,0.89906,0.96188,0.92494,0.98781,0.87763,0.38596,0.19375,0.82695,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
31,12193.8,0.49431,0.34811,0.90055,0.95293,0.93856,0.9831,0.8715,0.38445,0.19297,0.82727,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
32,12585,0.4916,0.34593,0.89932,0.95462,0.94896,0.98823,0.8801,0.38438,0.19158,0.82802,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
33,12975,0.48748,0.33994,0.89722,0.95929,0.93753,0.98805,0.87829,0.38458,0.18949,0.82629,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
34,13363.7,0.48747,0.33967,0.89746,0.95426,0.9387,0.98805,0.87962,0.3821,0.18829,0.82718,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
35,13753.7,0.48568,0.33979,0.8969,0.96123,0.93717,0.98829,0.88098,0.38097,0.18752,0.8262,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
36,14142.6,0.48167,0.33165,0.89647,0.96503,0.93514,0.98798,0.87878,0.37921,0.18482,0.8256,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
37,14533.4,0.48011,0.33104,0.89591,0.96485,0.9367,0.98021,0.87463,0.37973,0.1859,0.82605,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
38,14922.1,0.47775,0.32984,0.89481,0.96553,0.93449,0.97946,0.87217,0.38014,0.1847,0.82596,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
39,15310.7,0.47702,0.32526,0.89465,0.95253,0.94995,0.97991,0.87419,0.38052,0.18288,0.82589,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
40,15701,0.47345,0.32281,0.89362,0.96038,0.94708,0.98005,0.87244,0.38022,0.18209,0.82596,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
41,16101.7,0.4253,0.22898,0.86689,0.94903,0.95948,0.97948,0.87407,0.37898,0.18194,0.82609,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
42,16486.5,0.42042,0.22362,0.86483,0.95969,0.95734,0.98035,0.87531,0.37779,0.18069,0.82575,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
43,16872.6,0.4181,0.22068,0.86414,0.95449,0.9573,0.98234,0.87553,0.37723,0.17944,0.82566,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
44,17259.3,0.4146,0.2168,0.86309,0.94693,0.95835,0.98931,0.87774,0.37557,0.17819,0.82529,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
45,17645.1,0.41084,0.21343,0.86386,0.93968,0.95887,0.9814,0.87448,0.37457,0.17706,0.82496,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
46,18029.9,0.40827,0.21118,0.86099,0.9465,0.96806,0.98211,0.87679,0.3739,0.17636,0.82482,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
47,18415.9,0.4052,0.20681,0.86209,0.96345,0.95476,0.9806,0.8756,0.37388,0.17608,0.82507,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
48,18802.6,0.40297,0.20473,0.85963,0.95025,0.96724,0.9887,0.88112,0.37371,0.1757,0.82477,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
49,19188.5,0.39955,0.20071,0.85818,0.95764,0.96625,0.98214,0.87565,0.37351,0.17472,0.82455,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
50,19573.9,0.39787,0.19822,0.85805,0.96159,0.96538,0.98405,0.87861,0.37362,0.17454,0.82447,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
